Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
1.3931,0.5586,4.9715,1.1569,0.0000,0.6229,0.0000,0.5340,0.0000,0.0000,0.7655,0.0000,0.0139,0.1386,0.0000,0.0000,0.0000,0.3534,0.0000,0.0000,0.0000,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2557,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8489,0.0000,0.0000,0.0000,0.0000
1.0567,0.4118,3.9070,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4428,0.0000,0.0149,0.1489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1015,0.4118,3.7372,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0062,0.0619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0982,0.0000
1.1030,0.4118,3.2383,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0061,0.0609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0993
1.2086,0.4118,3.1220,0.8279,0.0245,0.6789,0.0201,0.1044,0.0000,0.0000,0.5295,0.0000,0.0011,0.0027,0.0000,0.0000,0.0000,0.0633,0.0000,0.0000,0.0000,0.0000,0.1524
1.0189,0.3213,3.6262,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3532,0.0094,0.0177,0.0636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0558,0.0000
1.0695,0.3213,3.7979,0.7419,0.0000,0.7091,0.0000,0.0328,0.0000,0.0000,0.3502,0.0000,0.0104,0.1041,0.0000,0.0000,0.0000,0.0155,0.0000,0.0000,0.0000,0.0000,0.0086
1.0748,0.3213,3.4600,0.8260,0.0001,0.6916,0.0000,0.1343,0.0000,0.0000,0.3784,0.0287,0.0381,0.0367,0.0000,0.0000,0.0000,0.0615,0.0000,0.0000,0.0000,0.0000,0.0706
1.0328,0.3213,3.1220,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3658,0.0000,0.0040,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0839
1.1197,0.3949,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1605
0.9339,0.2309,3.4995,0.7156,0.0011,0.7144,0.0000,0.0000,0.0000,0.0000,0.2392,0.0054,0.0146,0.0804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9325,0.2309,3.5133,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2368,0.0101,0.0201,0.0796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9852,0.2309,3.4600,0.8021,0.0000,0.6966,0.0000,0.1056,0.0000,0.0000,0.2567,0.0371,0.0483,0.0378,0.0000,0.0000,0.0000,0.0338,0.0000,0.0000,0.0000,0.0000,0.0376
0.9594,0.2309,3.1220,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2585,0.0000,0.0030,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,0.0504
1.1203,0.3956,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1608
0.8731,0.1404,3.3051,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1405,0.0097,0.0164,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8731,0.1404,3.3051,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1405,0.0097,0.0164,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
