Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
3.9083,0.7541,3.6910,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,2.7493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0639,0.0000,2.7493,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8791,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
1.3395,0.5500,3.2136,1.0018,0.0000,0.6551,0.0000,0.3467,0.0000,0.0000,0.6629,0.0000,0.0048,0.0474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2294,0.0000,0.0994
1.3736,0.5500,3.1062,1.0368,0.0000,0.6478,0.0000,0.3890,0.0000,0.0000,0.6860,0.0000,0.0032,0.0348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2497,0.0000,0.1166
1.3977,0.5500,2.9988,1.0539,0.0000,0.6272,0.0360,0.3907,0.0000,0.0000,0.6949,0.0000,0.0039,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2573,0.0000,0.1385
1.4341,0.5699,2.8914,1.1011,0.0000,0.6313,0.0067,0.4631,0.0000,0.0000,0.7286,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3064,0.0000,0.1435
1.1211,0.4250,3.2136,0.7353,0.0003,0.7104,0.0000,0.0246,0.0000,0.0000,0.4864,0.0000,0.0057,0.0567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0163,0.0000,0.1025
1.1661,0.4250,3.1062,0.8524,0.0000,0.6861,0.0000,0.1663,0.0000,0.0000,0.4930,0.0000,0.0036,0.0374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0927,0.0000,0.0998
1.1377,0.4250,2.9988,0.7459,0.0000,0.7082,0.0000,0.0376,0.0000,0.0000,0.4935,0.0000,0.0028,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0249,0.0000,0.1313
