Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
4.4523,0.7758,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.0815,0.7031,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0136,0.1358,22.7366
1.0815,0.7744,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0136,0.1358,22.7366
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.6285,0.7739,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,34.1078
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.0815,0.7031,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0136,0.1358,22.7366
4.4523,0.7677,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.0815,0.7664,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0136,0.1358,22.7366
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.6285,0.7659,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,34.1078
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
35.9737,0.7179,7.7158,0.0000,0.0000,0.0000,0.0000,0.0000,7.7158,5.1055,0.0000,0.0000,0.0000,1602.5930
4.4523,0.6972,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7126,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
1.4657,0.4121,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,33.0411
1.4657,0.4121,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,33.0411
1.4657,0.4121,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,33.0411
