Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
3.6770,1.3565,9.2857,1.8597,1.5601,0.2997,0.0000,0.0000,0.0000,0.0000,1.2306,0.0000,0.0000,0.0000,0.6943,0.0000,0.3573,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.8937,1.2569,4.8346,1.1008,0.3198,0.5982,0.0000,0.1827,0.0000,0.0000,0.7235,0.0049,0.0059,0.0000,0.3848,0.0000,0.1574,0.0000,0.0000,0.1109,0.0092,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,1.2747,3.6283,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.3263,0.0000,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7924,1.3040,4.8399,0.9598,0.3339,0.6259,0.0000,0.0000,0.0000,0.0000,0.6351,0.0000,0.0000,0.0004,0.4045,0.0000,0.1654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7924,1.3040,4.8399,0.9598,0.3339,0.6259,0.0000,0.0000,0.0000,0.0000,0.6351,0.0000,0.0000,0.0004,0.4045,0.0000,0.1654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7924,1.3040,4.8399,0.9598,0.3339,0.6259,0.0000,0.0000,0.0000,0.0000,0.6351,0.0000,0.0000,0.0004,0.4045,0.0000,0.1654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
