Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
3.6770,1.3565,9.2857,1.8597,1.5601,0.2997,0.0000,0.0000,0.0000,0.0000,1.2306,0.0000,0.0000,0.0000,0.6943,0.0000,0.3573,0.0000,4.0639,0.0000,0.0000,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1197,0.3949,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1605
0.8037,0.0500,2.9848,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0128,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8037,0.0500,2.9848,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0128,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8037,0.0500,2.9848,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0128,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8037,0.0500,2.9848,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0128,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1197,0.3949,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1605
0.8947,0.2841,3.1078,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1054,0.0000,0.0000,0.0000,0.0727,0.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
