Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
4.1701,1.3409,4.3582,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,2.7493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,2.7493,0.0000,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
2.2732,0.9748,3.6946,2.0427,0.0000,0.4388,0.0000,1.6038,0.0000,0.0000,1.3401,0.0000,0.0041,0.0411,0.0000,0.0000,0.0000,0.0000,0.0000,1.0522,0.0000,0.0000,0.0563
2.2681,0.9755,3.4669,2.0158,0.0000,0.4444,0.0000,1.5714,0.0000,0.0000,1.3318,0.0000,0.0012,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,1.0382,0.0000,0.0000,0.0879
1.7087,0.7436,3.1191,1.3789,0.0000,0.5767,0.0000,0.8022,0.0000,0.0000,0.9124,0.0000,0.0005,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.5190,0.0000,0.0000,0.1297
1.6963,0.7436,3.4669,1.3795,0.0000,0.5766,0.0000,0.8029,0.0000,0.0000,0.9128,0.0000,0.0051,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.5134,0.0000,0.0000,0.0848
1.7105,0.7436,3.2393,1.3808,0.0000,0.5487,0.0583,0.7739,0.0000,0.0000,0.9137,0.0000,0.0016,0.0157,0.0000,0.0000,0.0000,0.0000,0.0000,0.5121,0.0000,0.0000,0.1218
1.2386,0.5124,3.6946,0.9077,0.0024,0.6644,0.0210,0.2199,0.0000,0.0000,0.5703,0.0000,0.0108,0.1073,0.0000,0.0000,0.0000,0.0000,0.0000,0.1382,0.0000,0.0000,0.0389
1.2228,0.5124,3.4669,0.8583,0.0000,0.6849,0.0000,0.1734,0.0000,0.0000,0.5663,0.0000,0.0083,0.0826,0.0000,0.0000,0.0000,0.0000,0.0000,0.1144,0.0000,0.0000,0.0701
1.3268,0.5124,3.2393,0.9340,0.0313,0.6422,0.0494,0.2112,0.0000,0.0000,0.6133,0.0048,0.0088,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.1387,0.0000,0.0000,0.1312
1.2612,0.5124,3.0116,0.8802,0.0000,0.6803,0.0000,0.1999,0.0000,0.0000,0.5824,0.0000,0.0020,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.1323,0.0000,0.0000,0.1324
0.9662,0.2812,3.6318,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2916,0.0104,0.0223,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0274,0.2812,3.4669,0.7419,0.0371,0.7049,0.0000,0.0000,0.0000,0.0000,0.3159,0.0051,0.0128,0.0666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0403
1.0657,0.2812,3.2393,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3273,0.0000,0.0365,0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.0856
1.0064,0.2812,3.0116,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3219,0.0000,0.0023,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0861
1.1197,0.3949,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1605
0.8155,0.0500,3.0674,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0509,0.0000,0.0017,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8153,0.0500,3.1024,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0468,0.0093,0.0127,0.0157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8155,0.0500,3.0674,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0509,0.0000,0.0017,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8324,0.0500,3.0116,0.8070,0.0000,0.6928,0.0057,0.1084,0.0000,0.0000,0.0540,0.0128,0.0154,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0154
1.1197,0.3949,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1605
