k,i,GWP,Theta,Per_Recy,Per_Comp,GHG_ElecInd,GHG_Transport,OCost
1,1,8.5782,1.3565,0.297765,0,3.4143,0.8678,3.5267
2,1,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
3,1,2.9585,0,0,0,0.8363,0,0.7842
4,1,2.6374,0.5189,0.297765,0,1.2794,0.3335,1.0863
5,1,2.6374,0.5015,0.29772,0,1.2969,0.3382,1.0936
6,1,2.6374,0.5189,0.297765,0,1.2794,0.3335,1.0863
7,1,2.6374,0.4931,0.288225,0,1.2653,0.3228,1.0747
8,1,2.9949,0.1134,0.026505,0,0.8753,0.0298,0.8234
9,1,3.8684,1.2855,0.297585,0.0008,1.4822,0.3861,1.4469
10,1,4.0154,1.2059,0.287595,0,1.5165,0.3925,1.4599
11,1,4.0145,1.2942,0.297765,0,1.5431,0.4009,1.5126
12,1,3.9313,1.2474,0.29727,0,1.4995,0.3831,1.4539
13,1,2.9941,0.114,0.02664,0,0.8754,0.0298,0.8234
14,1,3.6735,1.2586,0.297765,0,1.3952,0.3665,1.3516
15,1,5.1046,1.2127,0.29583,0.0089,1.9527,0.5158,1.9502
16,1,4.9963,1.2289,0.29763,0.0166,1.9491,0.5153,1.9365
17,1,4.7407,1.3092,0.297765,0,1.8403,0.4752,1.8324
18,1,2.9943,0.114,0.026685,0,0.8754,0.0299,0.8234
19,1,3.8791,1.2852,0.297135,0,1.4852,0.3862,1.4506
20,1,5.098,1.2222,0.297765,0,1.9162,0.5085,1.9228
21,1,6.1522,1.2143,0.297675,0.0009,2.3614,0.6219,2.3862
22,1,3.3565,1.2747,0.297765,0,1.2733,0.3335,1.2222
23,1,2.9965,0.1123,0.026235,0,0.875,0.0296,0.8234
24,1,3.8635,1.2722,0.297225,0.0017,1.4779,0.3859,1.4412
25,1,5.4543,1.259,0.28944,0,2.1007,0.5355,2.0869
26,1,5.0314,1.212,0.28458,0.0018,1.9168,0.4925,1.8587
27,1,8.1201,1.3337,0.29727,0,3.2097,0.8194,3.3074
28,2,4.7054,0.8751,0.297765,0,1.2905,0.3335,1.3588
29,2,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
30,2,2.9585,0,0,0,0.8363,0,0.7842
31,2,2.6374,0.399,0.297,0,1.2515,0.3339,1.0571
32,2,2.6374,0.4199,0.296865,0,1.2797,0.3325,1.0785
33,2,2.6374,0.4213,0.297765,0,1.2811,0.3335,1.0795
34,2,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
35,2,3.0956,0.2618,0.176355,0,1.0181,0.2012,0.9403
36,2,3.0956,0.3976,0.297765,0,1.2401,0.3353,1.0571
37,2,3.0956,0.517,0.297765,0,1.2832,0.3335,1.1414
38,2,3.0956,0.517,0.297765,0,1.2832,0.3335,1.1414
39,2,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
40,2,3.4545,0.2995,0.19926,0,0.9557,0.2312,0.9403
41,2,3.5538,0.4381,0.297405,0.0012,1.098,0.3508,1.0569
42,2,3.5538,0.5849,0.297765,0,1.2466,0.3352,1.174
43,2,3.5538,0.6153,0.297765,0,1.2853,0.3335,1.2033
44,2,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
45,2,3.5285,0.286,0.183825,0.0012,0.999,0.2297,0.9403
46,2,3.8228,0.4505,0.265455,0,1.0517,0.306,1.0571
47,2,4.0119,0.6198,0.297765,0,1.1671,0.3388,1.174
48,2,4.0119,0.6988,0.297675,0,1.3021,0.3398,1.2703
49,2,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
50,2,3.4545,0.2995,0.19926,0,0.9557,0.2312,0.9403
51,2,3.8165,0.4858,0.297765,0,1.0467,0.3441,1.0571
52,2,4.2341,0.6066,0.256275,0.0013,1.1819,0.3076,1.1725
53,2,4.4701,0.7806,0.297765,0,1.2418,0.3356,1.2909
54,3,16.4814,0.6521,0.297765,0,5.0133,1.2535,5.6123
55,3,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
56,3,2.9585,0,0,0,0.8363,0,0.7842
57,3,2.6374,0.3981,0.296865,0.0007,1.2981,0.3423,1.0843
58,3,2.6374,0.3913,0.293625,0.0019,1.3171,0.3451,1.093
59,3,2.6374,0.4007,0.29727,0,1.3135,0.3413,1.1022
60,3,2.6374,0.3652,0.27414,0.0022,1.2815,0.315,1.0838
61,3,3.1492,0.0708,0.040545,0,0.898,0.0593,0.8234
62,3,5.8924,0.5092,0.297765,0,1.8044,0.5131,1.8825
63,3,5.8924,0.45,0.284895,0.0014,1.8997,0.5623,1.8547
64,3,5.8924,0.4882,0.293895,0.001,2.0989,0.5599,2.0609
65,3,5.3341,0.4897,0.297765,0,1.527,0.4664,1.5986
66,3,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
67,3,6.2917,0.5002,0.297405,0,1.8443,0.5545,1.9147
68,3,9.1474,0.5659,0.297765,0.005,2.7433,0.7423,2.9886
69,3,9.1474,0.5507,0.29421,0,3.1404,0.7988,3.2158
70,3,9.1474,0.5588,0.297765,0,2.8203,0.7327,3.0168
71,3,3.0844,0.0741,0.04878,0,0.8669,0.0566,0.8234
72,3,5.8578,0.4925,0.297765,0,1.7066,0.5206,1.7644
73,3,8.0542,0.5436,0.297765,0.0057,2.3894,0.667,2.5791
74,3,12.4023,0.6173,0.297765,0,3.738,0.9639,4.1465
75,3,12.4023,0.5658,0.29763,0,3.729,1.019,4.0649
76,3,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
77,3,6.5679,0.4815,0.261,0,1.9641,0.5321,1.9221
78,3,9.5285,0.5305,0.297585,0.0004,2.8975,0.8329,3.0157
79,3,12.1059,0.6142,0.297765,0,3.6444,0.9427,4.0394
80,3,15.6573,0.6346,0.2961,0.003,4.7891,1.206,5.3151
81,4,6.0346,0.8053,0.297765,0,2.1206,0.5903,1.8538
82,4,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
83,4,2.9585,0,0,0,0.8363,0,0.7842
84,4,2.6374,0.398,0.29637,0,1.2523,0.3336,1.0578
85,4,2.6374,0.4217,0.297765,0,1.3105,0.3427,1.0908
86,4,2.6374,0.4129,0.29763,0,1.3105,0.3433,1.0938
87,4,2.6374,0.4216,0.297765,0,1.31,0.3426,1.0905
88,4,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
89,4,3.4113,0.4465,0.297765,0,1.131,0.3496,1.0578
90,4,3.4113,0.5507,0.297405,0,1.5067,0.4017,1.2708
91,4,3.4113,0.5556,0.297765,0,1.495,0.3991,1.2646
92,4,3.4113,0.516,0.282285,0,1.5171,0.3912,1.2663
93,4,3.0835,0.0766,0.049635,0,0.8665,0.0576,0.8234
94,4,3.7526,0.4334,0.28818,0.0022,1.0417,0.3442,1.0355
95,4,4.1851,0.5998,0.297,0,1.4212,0.4199,1.2893
96,4,4.1851,0.6537,0.297765,0,1.6796,0.4555,1.4385
97,4,4.1851,0.6334,0.29151,0,1.6931,0.4526,1.4405
98,4,3.0835,0.0773,0.04968,0,0.8662,0.0578,0.8234
99,4,3.7384,0.4414,0.291735,0,1.0351,0.3445,1.0288
100,4,4.473,0.581,0.29718,0.0004,1.3568,0.4272,1.2854
101,4,4.959,0.6907,0.297765,0,1.6315,0.4808,1.4822
102,4,4.959,0.6739,0.291915,0.0022,1.7731,0.5001,1.5506
103,4,3.0555,0.0709,0.047115,0,0.8783,0.054,0.8234
104,4,3.8121,0.4693,0.297765,0,1.0678,0.3573,1.0576
105,4,4.4604,0.5634,0.293265,0.0072,1.3366,0.4133,1.2923
106,4,5.0992,0.6754,0.297765,0,1.6533,0.4956,1.5065
107,4,5.7329,0.7757,0.297765,0.0021,1.9984,0.5633,1.7578
108,5,4.5314,0.5586,0.297765,0.1562,1.4775,0.5503,1.2995
109,5,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
110,5,2.9585,0,0,0,0.8363,0,0.7842
111,5,2.6374,0.3573,0.265005,0,1.2145,0.2976,1.029
112,5,2.6374,0.4172,0.297765,0.0294,1.3337,0.3595,1.0973
113,5,2.6374,0.4185,0.297765,0.0299,1.3351,0.3598,1.0978
114,5,3.0542,0.0742,0.048555,0,0.8714,0.0561,0.8234
115,5,3.0542,0.2396,0.165915,0,1.0067,0.1893,0.9262
116,5,3.0542,0.3957,0.283005,0,1.1421,0.3222,1.029
