tl_inn,     15.4954,      1.8621,      0.8016,      0.1984,      5.0160,      1.8417,      7.2550
tl_inn,     -0.5450,      0.7598,      0.8035,      0.1965,      3.4926,      1.9388,      3.3111
tl_inn,    627.5854,      0.0000,      0.0000,      0.0000,      0.3606,      0.0000,      0.1714
tl_inn,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn,      7.9515,      0.4592,      0.6532,      0.0000,      2.2759,      0.7638,      2.3719
tl_inn,      7.0639,      0.4527,      0.6607,      0.0000,      2.0321,      0.6899,      2.0815
tl_inn,      9.9156,      0.4672,      0.6581,      0.0000,      2.8262,      0.9493,      3.0278
tl_inn,      5.4640,      0.4308,      0.6617,      0.0066,      1.8975,      0.6145,      1.7385
tl_inn,      6.3466,      0.4487,      0.6401,      0.0008,      1.8131,      0.5987,      1.8420
tl_inn,      9.3462,      0.4539,      0.6615,      0.0094,      2.7116,      0.9302,      2.8322
tl_inn,     10.0179,      0.4651,      0.6617,      0.0000,      2.8910,      0.9843,      3.0384
tl_inn,     12.2343,      0.4708,      0.6615,      0.0001,      3.5112,      1.1870,      3.7753
tl_inn,      7.7723,      0.4499,      0.6610,      0.0057,      2.2818,      0.7933,      2.2866
tl_inn,      6.7105,      0.4344,      0.6222,      0.0060,      1.9974,      0.6568,      1.8973
tl_inn,     13.0231,      0.4584,      0.6515,      0.0107,      3.7805,      1.2692,      4.0254
tl_inn,      7.1203,      0.4392,      0.6330,      0.0072,      2.1051,      0.7007,      2.0481
tl_inn,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,     15.4954,      1.8621,      0.8016,      0.1984,      5.0160,      1.8417,      7.2550
tl_inn1,     -0.5450,      0.7598,      0.8035,      0.1965,      3.4926,      1.9388,      3.3111
tl_inn1,    100.0000,      0.0000,      0.0000,      0.1881,      0.4271,      0.0000,      0.1966
tl_inn1,    627.5854,      0.0000,      0.0000,      0.0000,      0.3606,      0.0000,      0.1714
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      5.1781,      0.4395,      0.6420,      0.0009,      1.4956,      0.5021,      1.4490
tl_inn1,      4.6694,      0.4376,      0.6617,      0.0024,      1.3726,      0.4825,      1.2793
tl_inn1,      5.4905,      0.4324,      0.6617,      0.0157,      1.6300,      0.5603,      1.6104
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      8.2934,      0.4321,      0.6379,      0.0160,      2.4776,      0.8383,      2.4416
tl_inn1,      6.0754,      0.4559,      0.6617,      0.0000,      1.7072,      0.5786,      1.7869
tl_inn1,      8.6702,      0.4615,      0.6568,      0.0015,      2.4748,      0.8327,      2.6183
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      6.7588,      0.4466,      0.6577,      0.0001,      2.0336,      0.7112,      1.9121
tl_inn1,      6.6769,      0.4423,      0.6528,      0.0008,      1.9970,      0.6926,      1.9027
tl_inn1,     12.8650,      0.4715,      0.6586,      0.0002,      3.6889,      1.2394,      3.9814
tl_inn1,      0.0000,      0.0000,        UNDF,        UNDF,      0.0000,      0.0000,      0.0000
tl_inn1,      8.0793,      0.4638,      0.6617,      0.0000,      2.2869,      0.7726,      2.4392
tl_inn1,      6.1102,      0.4377,      0.6492,      0.0048,      1.8017,      0.6186,      1.7446
tl_inn1,     11.0572,      0.4473,      0.6235,      0.0066,      3.3166,      1.0683,      3.3459
