"j","Val"
"P1",0.247909749406177
"P2",0.111132771284625
"P3",0
"P4",0
"P5",0.268940267935555
"P6",0.001046997378931
"P7",0.661652958435587
"P8",0.00179778906822042
"P9",0.647182571011862
"P10",0.000123206382444915
"P11",0.140338531684943
"P12",0
"P13",0
"P14",0
"P15",0
"P16",0.0267868365509408
"P17",1.19657704242979
"P18",0.927809087319444
"P19",0.0325541132400796
"P20",0.00283904886910173
"P21",0.0135267032659639
"P22",0.339758130134454
"P23",0
"P24",0.159749785305324
"P25",0
"P26",0.0031535364008929
"P27",0
"P28",1.88480150952569
"P29",0
"P30",0
"P31",0
"P32",0
"P33",0
"P34",0
"P35",1.17224477742155
"P36",0
"P37",0.02626507402479
"P38",0.00742442091207402
"P39",1.18102521304258
"P40",0.00247579571709955
"P41",0
"P42",7.20585041887787E-7
"P43",0
"P44",0
"P45",0
"P46",0
"P47",0
"P48",0
"P49",0
"P50",0.683960316443632
"P51",0
"P52",0
"P53",0.102188096250545
"P54",0.013402593003413
"P55",0
"P56",0
"P57",0
"P58",0.01862305803082
"P59",0.622561767112649
"P60",0
"P61",0.0199193128050048
"P62",0
"P63",0.659858950274774
"P64",0.720434457337885
"P65",6.74154700715683E-6
"P66",0.152867035631379
"P67",0.0238042048996405
"P68",0.560780661349144
"P69",0.00221194227498809
"P70",0.237104748737385
"P71",0.00599304488129575
"P72",0
"P73",0
"P74",0.0228774057731268
"P75",0
"P76",0.0213310839166547
"P77",0
"P78",0.714716723549489
"P79",0
"P80",0
"P81",0
"P82",0
"P83",0.714716723549489
"P84",0
"P85",0
"P86",0
"P87",0.629872850576795
"P88",0.629872850576795
"P89",0
"P90",0
"P91",0
"P92",0
"P93",0
"P94",0
"P95",0
"P96",0
"P97",0
"P98",0
"P99",0
"P100",0
"P101",0
"P102",0
"P103",0
"P104",0
"P105",0
"P106",0
"P107",0
"P108",0
"P109",0
"P110",0
"P111",0
"P112",0
"P113",0
"P114",0
"P115",0
"P116",0
"P117",0
"P118",0
"P119",0
"P120",0
"P121",0
"P122",0
"P123",0
"P124",0
"P125",0
"P126",0
"P127",0
"P128",0
"P129",0
"P130",0
"P131",0
"P132",0
"P133",0
"P134",0
"P135",0
"P136",0
"P137",0
